[2025-06-27T22:12:14.203061] INFO: Starting notify file check
[2025-06-27T22:12:14.203506] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:14.203528] INFO: Completed notify file check
[2025-06-27T22:12:19.204040] INFO: Starting notify file check
[2025-06-27T22:12:19.204488] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:19.204509] INFO: Completed notify file check
[2025-06-27T22:12:24.205037] INFO: Starting notify file check
[2025-06-27T22:12:24.205632] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:24.205667] INFO: Completed notify file check
[2025-06-27T22:12:29.205980] INFO: Starting notify file check
[2025-06-27T22:12:29.206491] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:29.206513] INFO: Completed notify file check
[2025-06-27T22:12:34.206917] INFO: Starting notify file check
[2025-06-27T22:12:34.207369] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:34.207391] INFO: Completed notify file check
[2025-06-27T22:12:39.207620] INFO: Starting notify file check
[2025-06-27T22:12:39.208064] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:39.208086] INFO: Completed notify file check
[2025-06-27T22:12:44.208527] INFO: Starting notify file check
[2025-06-27T22:12:44.209009] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:44.209031] INFO: Completed notify file check
[2025-06-27T22:12:49.209354] INFO: Starting notify file check
[2025-06-27T22:12:49.209855] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:49.209905] INFO: Completed notify file check
[2025-06-27T22:12:54.210679] INFO: Starting notify file check
[2025-06-27T22:12:54.211207] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:54.211229] INFO: Completed notify file check
[2025-06-27T22:12:59.211947] INFO: Starting notify file check
[2025-06-27T22:12:59.212430] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:12:59.212451] INFO: Completed notify file check
[2025-06-27T22:13:04.212974] INFO: Starting notify file check
[2025-06-27T22:13:04.213448] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:04.213470] INFO: Completed notify file check
[2025-06-27T22:13:09.214474] INFO: Starting notify file check
[2025-06-27T22:13:09.214945] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:09.214971] INFO: Completed notify file check
[2025-06-27T22:13:14.215345] INFO: Starting notify file check
[2025-06-27T22:13:14.215890] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:14.215910] INFO: Completed notify file check
[2025-06-27T22:13:19.216106] INFO: Starting notify file check
[2025-06-27T22:13:19.216586] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:19.216606] INFO: Completed notify file check
[2025-06-27T22:13:24.217287] INFO: Starting notify file check
[2025-06-27T22:13:24.217860] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:24.217879] INFO: Completed notify file check
[2025-06-27T22:13:29.218644] INFO: Starting notify file check
[2025-06-27T22:13:29.219122] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:29.219216] INFO: Created empty command file: /home/kali/BITStreamC2/commands/stepharoos.json
[2025-06-27T22:13:29.219270] INFO: Added agent: stepharoos (Unknown, Unknown)
[2025-06-27T22:13:29.219458] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:29.219476] INFO: Completed notify file check
[2025-06-27T22:13:34.219929] INFO: Starting notify file check
[2025-06-27T22:13:34.220529] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:34.220548] INFO: Completed notify file check
[2025-06-27T22:13:36.581641] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:39.220882] INFO: Starting notify file check
[2025-06-27T22:13:39.221571] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:39.221596] INFO: Completed notify file check
[2025-06-27T22:13:44.222077] INFO: Starting notify file check
[2025-06-27T22:13:44.222540] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:44.222591] INFO: Completed notify file check
